Name,Year,Political,Socialist,OriginalLanguage,wrote_English,wrote_German,wrote_French,wrote_Spanish,wrote_Italian,wrote_Greek,wrote_Latin,YearofPublication,YearofTranslationtoEnglish
Karl Marx,1850,1,1,German,0,1,0,0,0,0,0,1867,1887
Abraham Lincoln,1850,1,0,English,1,0,0,0,0,0,0,1861,1861
Adam Smith,1850,1,0,English,1,0,0,0,0,0,0,1776,1776
Aeschylus,1850,0,0,Greek,0,0,0,0,0,1,0,-456,1663
Aesop,1850,0,0,Greek,0,0,0,0,0,1,0,-546,1484
Alessandro Manzoni,1850,0,0,Italian,0,0,0,0,1,0,0,1827,1828
Alexander Hamilton,1850,1,0,English,1,0,0,0,0,0,0,1787,1787
Alexander Pope,1850,1,0,English,1,0,0,0,0,0,0,1711,1711
Amadeus Wendt,1850,0,0,German,0,1,0,0,0,0,0,1836,
Ambroise Paré,1850,0,0,French,0,0,1,0,0,0,0,1575,1634
Aquinas,1850,0,0,Latin,0,0,0,0,0,0,1,1265,1911
Archibald Geikie,1850,0,0,English,1,0,0,0,0,0,0,1875,1875
Aristophanes,1850,0,0,Greek,0,0,0,0,0,1,0,-386,1655
Aristotle,1850,1,0,Greek,0,0,0,0,0,1,0,-322,1600
Arnold Ruge,1850,1,0,German,0,1,0,0,0,0,0,1846,
Auberon Herbert,1850,1,0,English,1,0,0,0,0,0,0,1885,1885
August Bebel,1850,1,1,German,0,1,0,0,0,0,0,1883,1885
Auguste Comte,1850,0,0,French,0,0,1,0,0,0,0,1844,1865
Augustine,1850,0,0,Latin,0,0,0,0,0,0,1,426,1871
Bakunin,1850,1,1,French,0,0,1,0,0,0,0,1882,1883
Barthold Georg Niebuhr,1850,0,0,German,0,1,0,0,0,0,0,1811,1827
Bastiat,1850,1,0,French,0,0,1,0,0,0,0,1850,1867
Benjamin Constant,1850,1,0,French,0,0,1,0,0,0,0,1816,1819
Benjamin Franklin,1850,1,0,English,1,0,0,0,0,0,0,1793,1793
Bentham,1850,1,0,English,1,0,0,0,0,0,0,1780,1780
Bernard Bolzano,1850,0,0,German,0,1,0,0,0,0,0,1837,2014
Bigges,1850,0,0,English,1,0,0,0,0,0,0,1586,1586
Blanqui,1850,1,1,French,0,0,1,0,0,0,0,1866,1971
Bruno Bauer,1850,0,0,German,0,1,0,0,0,0,0,1838,
Bruno Hildebrand,1850,1,1,German,0,1,0,0,0,0,0,1848,
Carl Stumpf,1850,0,0,German,0,1,0,0,0,0,0,1911,2012
Cellini,1850,0,0,Italian,0,0,0,0,1,0,0,1563,1910
Cervantes,1850,0,0,Spanish,0,0,0,1,0,0,0,1605,1620
Charles Darwin,1850,0,0,English,1,0,0,0,0,0,0,1859,1859
Charles Fourier,1850,1,1,French,0,0,1,0,0,0,0,1808,1901
Chaucer,1850,0,0,English,1,0,0,0,0,0,0,1400,1400
Christian Schreiber,1850,0,0,German,0,1,0,0,0,0,0,1805,
Christian Wilhelm von Dohm,1850,1,0,German,0,1,0,0,0,0,0,1781,
Cicero,1850,1,0,Latin,0,0,0,0,0,0,1,-51,1854
Clausewitz,1850,0,0,German,0,1,0,0,0,0,0,1832,1873
Copernicus,1850,0,0,Latin,0,0,0,0,0,0,1,1543,1910
Dante Alighieri,1850,0,0,Italian,0,0,0,0,1,0,0,1320,1785
David Ricardo,1850,1,0,English,1,0,0,0,0,0,0,1817,1817
Descartes,1850,0,0,French,0,0,1,0,0,0,0,1637,1649
Dietrich Tiedemann,1850,0,0,German,0,1,0,0,0,0,0,1791,
Dilthey,1850,0,0,German,0,1,0,0,0,0,0,1883,1989
Dostoyevsky,1850,0,0,Russian,0,0,0,0,0,0,0,1866,1885
Dryden,1850,0,0,English,1,0,0,0,0,0,0,1677,1677
Durkheim,1850,0,0,French,0,0,1,0,0,0,0,1893,1997
E T A Hoffmann,1850,0,0,German,0,1,0,0,0,0,0,1815,1824
Ebbinghaus,1850,0,0,German,0,1,0,0,0,0,0,1885,1913
Edmund Burke,1850,1,0,English,1,0,0,0,0,0,0,1790,1790
Edmund Spenser,1850,1,0,English,1,0,0,0,0,0,0,1590,1590
Eduard Beneke,1850,0,0,German,0,1,0,0,0,0,0,1825,
Eduard Bernstein,1850,1,1,German,0,1,0,0,0,0,0,1899,1909
Eduard Zeller,1850,0,0,German,0,1,0,0,0,0,0,1844,1886
Eduard von Hartmann,1850,0,0,German,0,1,0,0,0,0,0,1869,1884
Edward Bellamy,1850,1,1,English,1,0,0,0,0,0,0,1888,1888
Edward Haies,1850,0,0,English,1,0,0,0,0,0,0,1583,1583
Edward Jenner,1850,0,0,English,1,0,0,0,0,0,0,1798,1798
Epictetus,1850,0,0,Greek,0,0,0,0,0,1,0,135,1750
Eugen Dühring,1850,0,1,German,0,1,0,0,0,0,0,1872,
Euripides,1850,0,0,Greek,0,0,0,0,0,1,0,-406,1781
Faraday,1850,0,0,English,1,0,0,0,0,0,0,1827,1827
Ferdinand Lassalle,1850,1,1,German,0,1,0,0,0,0,0,1863,1884
Ferdinand Tönnies,1850,1,0,German,0,1,0,0,0,0,0,1887,1940
Fichte,1850,0,0,German,0,1,0,0,0,0,0,1794,1868
Francis Bacon,1850,0,0,English,1,0,0,0,0,0,0,1597,1597
Francis Pretty,1850,0,0,English,1,0,0,0,0,0,0,1580,1580
Franz Brentano,1850,0,0,German,0,1,0,0,0,0,0,1874,1973
Frederick Douglass,1850,1,0,English,1,0,0,0,0,0,0,1845,1845
Frege,1850,0,0,German,0,1,0,0,0,0,0,1879,1972
Friedrich Ast,1850,0,0,German,0,1,0,0,0,0,0,1816,
Friedrich Carl von Savigny,1850,0,0,German,0,1,0,0,0,0,0,1803,1848
Friedrich Heinrich Jacobi,1850,0,0,German,0,1,0,0,0,0,0,1781,1994
Friedrich Krause,1850,0,0,German,0,1,0,0,0,0,0,1804,
Friedrich List,1850,1,0,German,0,1,0,0,0,0,0,1841,1909
Friedrich Schiller,1850,0,0,German,0,1,0,0,0,0,0,1799,1800
Friedrich Schlegel,1850,0,0,German,0,1,0,0,0,0,0,1798,
Fritz Schultze,1850,0,0,German,0,1,0,0,0,0,0,1871,
Froissart,1850,1,0,French,0,0,1,0,0,0,0,1404,1523
Goethe,1850,0,0,German,0,1,0,0,0,0,0,1808,1821
Gotthold Ephraim Lessing,1850,0,0,German,0,1,0,0,0,0,0,1748,1825
Gottlob Ernst Schulze,1850,0,0,German,0,1,0,0,0,0,0,1792,
Grimmelshausen,1850,0,0,German,0,1,0,0,0,0,0,1668,1912
Gustav Freytag,1850,0,0,German,0,1,0,0,0,0,0,1855,1857
Gustav Schönberg,1850,1,0,German,0,1,0,0,0,0,0,1871,
Hamann,1850,0,0,German,0,1,0,0,0,0,0,1759,1967
Hans Christian Andersen,1850,0,0,English,1,0,0,0,0,0,0,1848,1848
Hegel,1850,0,0,German,0,1,0,0,0,0,0,1807,1967
Heinrich Feder,1850,0,0,German,0,1,0,0,0,0,0,1787,
Helmholtz,1850,0,0,German,0,1,0,0,0,0,0,1847,1847
Henry Fielding,1850,0,0,English,1,0,0,0,0,0,0,1749,1749
Henry George,1850,1,1,English,1,0,0,0,0,0,0,1879,1879
Herbart,1850,0,0,German,0,1,0,0,0,0,0,1813,1891
Herbert Spencer,1850,1,0,English,1,0,0,0,0,0,0,1851,1851
Herder,1850,0,0,German,0,1,0,0,0,0,0,1784,1800
Hermann Cohen,1850,0,0,German,0,1,0,0,0,0,0,1919,1971
Hermann Lotze,1850,0,0,German,0,1,0,0,0,0,0,1856,1885
Herodotus,1850,1,0,Greek,0,0,0,0,0,1,0,-430,1849
Hippocrates,1850,0,0,Greek,0,0,0,0,0,1,0,-400,1597
Hippolyte Taine,1850,0,0,French,0,0,1,0,0,0,0,1853,1865
Hobbes,1850,1,0,English,1,0,0,0,0,0,0,1651,1651
Homer,1850,0,0,Greek,0,0,0,0,0,1,0,-700,1598
Hume,1850,1,0,English,1,0,0,0,0,0,0,1763,1763
Hölderlin,1850,0,0,German,0,1,0,0,0,0,0,1797,1965
Immanuel Kant,1850,0,0,German,0,1,0,0,0,0,0,1785,1895
Izaak Walton,1850,0,0,English,1,0,0,0,0,0,0,1653,1653
